code	CGN tag	aantal (beetje onbegrijpelijk, staat voor aantal verschillende woord+lemma+pos combinaties)	voorbeeldwoordjes	weergave van uitleg in handleiding	opmerking
444	VNW(onbep,grad,stan,vrij,zonder,comp) 	10	Meer  min  MIN  meer  minder	vnw onbepaald, zelfstandig comparatief onverbogen	Of grad??
446	VNW(onbep,grad,stan,vrij,met-e,comp)	5	meerdere  meerderen  minderen  mindere	vnw onbepaald, zelfstandig comparatief overige buiging	Niet zo overtuigend getagd dit groepje
447	VNW(onbep,grad,stan,vrij,zonder,sup) 	9	Allerminst  meest  minst  allerminst	vnw onbepaald, zelfstandig superlatief onverbogen	Bijwoorden?
449	VNW(onbep,grad,stan,vrij,met-e,sup) 	7	meeste  meest  meesten  minste	vnw onbepaald, zelfstandig superlatief overige buiging	
450	VNW(onbep,det,prenom,stan,zonder)	147	een  al  EEN  ietwat  zoveelste	vnw onbepaald, bijvoeglijk basisvorm	
451	VNW(onbep,det,prenom,stan,mv-n)	1	velen	vnw onbepaald, bijvoeglijk meervoud	Tagfout
452	VNW(onbep,det,prenom|postnom,gen)	7	talloze  anders  ener  aller	vnw onbepaald, bijvoeglijk genitief	
453	VNW(onbep,det,prenom,stan,met-e)	74	andere  diverse  enkele  hoevele	vnw onbepaald, bijvoeglijk overige buiging	
454	VNW(onbep,grad,stan,prenom,comp,zonder)	9	Meer  min  meer  Minder  minder	vnw onbepaald, bijvoeglijk comparatief onverbogen	
456	VNW(onbep,grad,stan,prenom,comp,met-e)	7	meerdere  meerder  mindere	vnw onbepaald, bijvoeglijk comparatief overige buiging	
457	VNW(onbep,grad,stan,prenom,sup,zonder)	6	Meest  meest  minst  allerminst	vnw onbepaald, bijvoeglijk superlatief onverbogen	
459	VNW(onbep,grad,stan,prenom,sup,met-e)	4	meeste  minste  zoveelste	vnw onbepaald, bijvoeglijk superlatief overige buiging	
460	TW(hoofd,nom,zonder-n)	852	1646  N@  1855  2000  16.57,3	tw hoofd, zelfstandig basisvorm	
461	TW(hoofd,nom,stan,mv-n)	10	honderdduizenden  tienduizenden  honderden  miljoenen	tw hoofd, zelfstandig meervoud	
463	TW(hoofd,nom,bijz)	21	vijven  zessen  zeuvenen  achten  drieen	tw hoofd, zelfstandig overige buiging	
470	TW(hoofd,prenom,stan)	1214	45  30,-  2310  14.850,-  vier	tw hoofd, bijvoeglijk basisvorm	
471	TW(hoofd,prenom,mv-n)	15	mijoenen  Duizenden  duizenden  Tienduizenden  honderden	tw hoofd, bijvoeglijk meervoud	
472	TW(hoofd,prenom,gen) 	1	duizenden	tw hoofd, bijvoeglijk genitief	TAGFOUT
473	TW(hoofd,prenom,stan,met-e)	7	achtenhalve  drieen'nhalve  Anderhalve  vele  tweeen	tw hoofd, bijvoeglijk overige buiging	
480	TW(rang,nom,stan)	39	3e  vierenzeventigste  tiende  d.  17e	tw rang, zelfstandig basisvorm	
481	TW(rang,nom,mv-n)	5	zesden  eersten  derden  miljoenen	tw rang, zelfstandig meervoud	
483	TW(rang,nom,overig-of-e)	5	eersten  eerste  Eerste  tweede	tw rang, zelfstandig overige buiging	
490	TW(rang,prenom,stan)	102	12  negentiende  19e  6e  12e	tw rang, bijvoeglijk basisvorm	
491	TW(rang,prenom,mv-n)	1	eersten	tw rang, bijvoeglijk meervoud	onzin?
