scheepsgeleegentheid.	scheepsgelegenheid
schieden.	overschieten
schikken.	schikken
Schildt.	schild
schip.	schip
schorte.	schorten
schoute-bij-nacht.	schout-bij-nacht
schouwburg.	schouwburg
schrijuen.	schrijven
schrijven.	schrijven
schrijvens.	schrijven
schryven.	schrijven
Schryven.	schrijven
schuld.	schuld
seegeningen.	zegening
see.	zee
seggen.	zeggen
Seggen.	zeggen
seijt.	stadszijde
sein.	zijn
senden.	vooruitzenden
senden.	zenden
Senden.	zenden
september.	september
S.Eustatius	Sint Eustatius
sexe.	sekse
s.Hagen	\'s Gravenhage
sien.	zien
sijn.	zijn
Sijn.	zijn
sijt.	zijn
sij.	zijn
sindt.	zijn
Sinpaticeeren.	sympathiseren
slaan.	inslaan
slaan.	slaan
slaaven.	slaaf
slaven.	slaaf
slegt.	slecht
sluijs.	Maasluis
sluijten.	sluiten
smeeken.	smeken
Smissen.	Van der Smissen
Soek.	zoeken
solliciteeren.	solliciteren
Soomerkamp.	Soomerkamp
soon.	predikantszoon
sop.	limoensap
Spall.	Pieter_Gerrit_Van Spall
sparen.	sparen
Speelen.	spelen
Spiegeltjes.	toiletspiegeltje
spreeken.	spreken
spreken.	spreken
staad.	staan
staan.	bijstaan
staande.	staan
staan.	staan
staat.	staan
staen.	stilstaan
staet.	staan
steeg.	Huiszittensteeg
steert.	staart
stellen.	stellen
stellen.	uitstellen
sterken.	sterken
sterk.	sterk
Sterkte.	sterkte
sterven.	sterven
St.Eustats	Sint Eustatius
Steven.	Stephanus_Henricus_Cadenski
Stijl.N.	stijl_nieuw
stillen.	stillen
storten.	storten
Straaten.	straat
straat.	Kalverstraat
Straet.	Straat
straffen.	straffen
strecken.	strekken
strecke.	strekken
strekke.	strekken
stucken.	stuk
stuijten.	stuiten
stuv.	stuiver
stuyvers.	stuiver
Susters.	zuster
suster.	zuster
Suster.	zuster
swager.	zwager
swarigheden.	zwarigheid
syn.	zijn
syt.	zijn
sy.	zijn
taak.	taak
Tabak.	tabak
Tante.	tante
teegendeel.	integendeel
teekenende.	tekenen
teekenen.	tekenen
tegenwoordigh.	tegenwoordig
telijden.	te_lijden
Temmink.	Temmink
tenemen.	waarnemen_te
Terre.	Capesterre-Belle-Eau
Texel.	Texel
t.Heelal	het_heelal
t’huijs.	thuis
thuijs.	thuis
tijdelijck.	tijdelijk
tijding.	tijding
tijd.	tijd
tijdt.	tijd
t’leeren.	het_leren
toeback.	tabak
toecoomen.	toekomen
toegaat.	toegaan
toegeneegentheid.	toegenegenheid
toegenoomen.	toenemen
toegeslooten.	toesluiten
toejuijching.	toejuiching
toekomen.	toekomen
toepassen.	toepassen
toetezenden.	toezenden_te
toe.	toelaten
toe.	toezien
toevertrouwen.	toevertrouwen
toewensen.	toewensen
toewenst.	toewensen
toonen.	tonen
tot.	tot
&tra.	et cetera
treffen.	aantreffen
troosten.	troosten
trouwen.	trouwen
t.wilde	Het Wilde Varken
tyd.	tijd
Uede.	u_edele
uijt.	achteruitteren
uijtgieten.	uitgieten
uitgezeijlt.	uitzeilen
uitkomst.	uitkomst
uitslag.	uitslag
utrecht.	Stad Utrecht
uure.	uur
uwent.	uwent
uytlandig.	uitlandig
uytvoeren.	uitvoeren
vaamen.	vadem
vaarende.	welvarend
Vaaren.	varen
vaart.	varen
vaarwel.	vaarwelzeggen
vader[...]en	vader_UNRESOLVED
vaderlants.	vaderland
vader.	vader
Vader.	vader
Vaeder.	vader
vaeten.	vat
Valete.	valete
Vale.	vale
vandroefheid.	van_droefheid
vand.r	Van der S.
van.	van
varen.	varen
V.E.onderdanige	ue._onderdanig
vera.	cortex peruviani vera
verandert.	veranderen
verantwoorden.	verantwoorden
Verbeetert.	verbeteren
verblijven.	verblijven
verblyve.	verblijven
Vercoopreeck.	verkooprekening
verdienen.	verdienen
verdient.,	verdienen
verdraagen.	verdragen
verdr[..]t	verdrieten
verd.t	verdriet
vergaan.	vergaan
vergaen.	vergaan
vergeeten.	vergeten
verGeeten.	vergeten
vergelden.	vergelden
vergenoegt.	vergenoegd
vergoeden.	vergoeden
Verheugen.	verheugen
verhuijren.	verhuren
verkeere.	verkeren
verkoopen.	verkopen
Verkoopen.	verkopen
verkoopt.	verkopen
verlaaten.	verlaten
verlangde.	verlangen
verleenen.	verlenen
Verleenen.	verlenen
verliesen.	verliezen
Verlooren.	verliezen
vermeldt.	vermelden
vermindert.	verminderen
verneemen.	vernemen
vernemen.-	vernemen
vernemen.	vernemen
vernoeging.	vernoeging
vernomen.	vernemen
Veroorsaeken.	veroorzaken
verpligten.	verplichten
verschaften.	verschaffen
Verschoonen.	verschonen
verschrijven.	verschrijven
verseeckert.	verzekeren
versien.	verzien
versoeke.	verzoeken
versorgen.	verzorgen
verstaen.	verstaan
verstrekt.	verstrekken
vertrekken.	vertrekken
vertrekke.	vertrekken
vertrekt.	vertrekken
vertrock.	vertrekken
vertrokken.	vertrekken
vertroost.	vertroosten
vervolg.	vervolg
vervuld.	vervullen
vervullen.	vervullen
vervulle.	vervullen
verwachte.	verwachten
verwagt.	verwachten
verzaken.	verzaken
verZeekeren.	verzekeren
Verzending.	verzending
verzoekenden.	verzoeken
verzoeken.	verzoeken
verzonden.	verzenden
vet.	vet
vierendeel.	vierendeel
vinden.	vinden
Vinden.	vinden
vlooypapier.	vloeipapier
voedende.	voeden
voegen.	voegen
voetsoekers.	voetzoeker
voldoen.	voldoen
volgen.	volgen
volgt..-	volgen
volkomen.	volkomen
volkryk.	volkrijk
voorbede.	voorbede
voorbij.	voorbijlaten
vooren.	voren
Voorgaande.	voorgaand
voorgeleezen.	voorlezen
voorgelezen.	voorlezen
voorgevallen.	voorvallen
voorsienigheid.	voorzienigheid
voorsin.	voorzien
voort.	voortbrengen
voort.	voortkomen
voorvallen.	voorvallen
vraagd.	vragen
vraagen.	vragen
vreden.	vrede
Vrede.	vrede
vrienden.	vriend
Vriendin.	vriendin
vriendschap.	vriendschap
vrije.	vrij
vrind.	vriend
vrintschap.	vriendschap
vrou.	vrouw
vrouw.	vrouw
Vrouw.	vrouw
Vrrenden.	vriend
vrugteloos.	vruchteloos
vrywillige.	vrijwillige
vullen.	vullen
waaks.	waak
waakt.	waken
waard.	waard
waaren.	zijn
Waarheijd.	waarheid
waar.	waarnemen
waar.	zijn
waater.	water
waert.	zijn
waer.	waar
wagten.	wachten
Wall.	wal
Walraven.	Walraven
Wardt.	waard
waren.	zijn
wassen.	wassen
wass.	zijn
was.	UNRESOLVED
was.	zijn
Water-stroomen.	waterstroom
wedergekeert.	wederkeren
Weders.	weder
weer.	we(d)erschrijven
weesen.	zijn
Weesen.	zijn
weeten.	weten
weezen.	zijn
weg.	weg
wegzinken.	wegzinken
weinig.	weinig
welbehaaglijk.	welbehaaglijk
weldoen.	weldoen
welgemaackt.	UNRESOLVED
welsijn.	welzijn
wel.	wel
wel.	welgaan
wel.	welvaren
wenschende.	wensen
wenscht.	toewensen
wensschen.	wensen
werden.	worden
werken.	uitwerken
werpen.	neerwerpen
wesen.	wezen
weten.	weten
wezen.	wezen
wierde.	worden
wierd.	worden
wijn.	wijn
wild.	willen
willigen.	te_inwilligen
Will.	willen
wil.	willen
Winnen.	winnen
Winter.	Winter
wint.	wind
wit.	De Wit
Witte.	Witte
Woensel.	Paravicini de Capelle - Van Woensel
Wolff.	Van der Wolff tot Swol
wollen.	wollen
won.	winnen
woonaghtich.	woonachtig
woonden.	wonen
woonen.	inwonen
woonen.	wonen
woone.	wonen
worden..	worden
worden.	worden
Worden.	worden
wou.	willen
wyn.	wijn
zag.	zien
zakgeld.	zakgeld
Zaligheid.	zaligheid
zalmelden.	zullen_melden
zal.	zullen
Zedt.	sedert
zee.	Egmond aan Zee
zeelandt.	Zeeland
zee.	zee
zeggen.	zeggen
zegge.	zeggen
zeijlen.	zeilen
zelvde.	dezelfde
Zelve.	dezelve
zenden.	zenden
ziektens.	ziekte
ziekte.	venusziekte
zielle.	ziel
zien.	aanzien
zien.	zien
