TITEL	GENRE	GENRE	GENRE	SUBGENRE	SUBGENRE	SUBGENRE	SUBGENRE	AUTEUR	OPMERKING
lundse_liederen_a	fiction	Verse	secular	stanzaic	song	 	 	unknown	 
lundse_liederen_b	fiction	Verse	secular	stanzaic	song	 	 	unknown	 
maanzodiologium	Non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
madelgijs_fragm_a	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_be	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_d	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_g1	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_g2	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_le1	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_le2	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_le3	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_le4	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_lo	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_n	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_p	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
madelgijs_fragm_r	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
melibeus	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jan van Boendale	 
mengeldichten_hadewijch	Non-fiction	Verse	religious	 	Theological / ethics	 	 	Hadewijch	 
merlijn-continuatie_fragm_a	fiction	Verse	secular	epic	Chivalric romance	 	 	Lodewijk van Velthem	 
merlijn-continuatie_fragm_ma	fiction	Verse	secular	epic	Chivalric romance	 	 	Lodewijk van Velthem	 
merlijn-continuatie_fragm_mu	fiction	Verse	secular	epic	Chivalric romance	 	 	Lodewijk van Velthem	 
merlijns_boec	fiction	Verse	secular	epic	Chivalric romance	 	 	Jacob van Maerlant	 
natuurkunde_van_het_geheelal	Non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
nieuwe_doctrinael	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
noch_die_tien_ghebode	Non-fiction	Verse	religious	 	Theology / ethics	 	 	unknown	 
noch_van_salladine	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
ogier_van_denemarken_fragm_br1	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
ogier_van_denemarken_fragm_br2	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
ogier_van_denemarken_fragm_k	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
