code	correctieJesse	correctie Thomas	correctie Jesse	omschrijving
285	VRB(type=aux|cop,finiteness=part,infl=r|re,tense=past)			deelwoord (koppel-|hulpww.), uitgang -r|-re
289	VRB(type=aux|cop,finiteness=part,infl=other,tense=past)			deelwoord (koppel-|hulpww.), uitgang latijn, onduidelijk of evident fout geschreven
290	VRB(type=unclear,finiteness=unclear,tense=unclear,infl=0)		VRB(type=unclear,finiteness=unclear,tense=unclear,infl=0)	werkwoord probleemgeval, geen uitgang
291	VRB(type=unclear,finiteness=unclear,tense=unclear,infl=e)		VRB(type=unclear,finiteness=unclear,tense=unclear,infl=e)	werkwoord probleemgeval, uitgang -e
293	VRB(type=unclear,finiteness=unclear,tense=unclear,infl=t)		VRB(type=unclear,finiteness=unclear,tense=unclear,infl=t)	werkwoord probleemgeval, uitgang -t
294	VRB(type=unclear,finiteness=unclear,tense=unclear,infl=n)		VRB(type=unclear,finiteness=unclear,tense=unclear,infl=n)	werkwoord probleemgeval, uitgang -n
299	VRB(type=unclear,finiteness=unclear,tense=unclear,infl=other)		VRB(type=unclear,finiteness=unclear,tense=unclear,infl=other)	werkwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
300	NUM(type=card,infl=0)			hoofdtelwoord, geen uitgang
301	NUM(type=card,infl=e)			hoofdtelwoord, uitgang -e
302	NUM(type=card,infl=s|th)			hoofdtelwoord, uitgang -s|-th
303	NUM(type=card,infl=t)			hoofdtelwoord, uitgang -t
304	NUM(type=card,infl=n)			hoofdtelwoord, uitgang -n
305	NUM(type=card,infl=r|re)			hoofdtelwoord, uitgang -r|-re
309	NUM(type=card,infl=other)			hoofdtelwoord, uitgang latijn, onduidelijk of evident fout geschreven
310	NUM(type=ord,infl=0)			rangtelwoord, geen uitgang
311	NUM(type=ord,infl=e)			rangtelwoord, uitgang -e
312	NUM(type=ord,infl=s|th)			rangtelwoord, uitgang -s|-th
314	NUM(type=ord,infl=n)			rangtelwoord, uitgang -n
315	NUM(type=ord,infl=r|re)			rangtelwoord, uitgang -r|-re
319	NUM(type=ord,infl=other)			rangtelwoord, uitgang latijn, onduidelijk of evident fout geschreven
320	PD(type=indef,infl=0)		PD(type=indef,infl=0)	onbepaald telwoord, geen uitgang
321	PD(type=indef,infl=e)		PD(type=indef,infl=e)	onbepaald telwoord, uitgang -e
322	PD(type=indef,infl=s|th)		PD(type=indef,infl=s|th)	onbepaald telwoord, uitgang -s|-th
323	PD(type=indef,infl=t)		PD(type=indef,infl=t)	onbepaald telwoord, uitgang -t
324	PD(type=indef,infl=n)		PD(type=indef,infl=n)	onbepaald telwoord, uitgang -n
325	PD(type=indef,infl=r|re)		PD(type=indef,infl=r|re)	onbepaald telwoord, uitgang -r|-re
329	PD(type=indef,infl=other)		PD(type=indef,infl=other)	onbepaald telwoord, uitgang latijn, onduidelijk of evident fout geschreven
394	NUM(type=unclear,infl=n)		NUM(type=unclear,infl=n)	telwoord probleemgeval, uitgang -n
395	NUM(type=unclear,infl=r|re)		NUM(type=unclear,infl=r|re)	telwoord probleemgeval, uitgang -r|-re
399	NUM(type=unclear,infl=other)		NUM(type=unclear,infl=other)	telwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
401	PD(type=pers,person=1,number=sg)			persoonlijk voornaamwoord, 1e persoon enkelvoud
402	PD(type=pers,person=2,number=sg)			persoonlijk voornaamwoord, 2e persoon enkelvoud
403	PD(type=pers,person=3,number=sg)			persoonlijk voornaamwoord, 3e persoon enkelvoud
404	PD(type=pers,person=1,number=pl)			persoonlijk voornaamwoord, 1e persoon meervoud
405	PD(type=pers,person=2,number=pl)			persoonlijk voornaamwoord, 2e persoon meervoud
406	PD(type=pers,person=3,number=pl)			persoonlijk voornaamwoord, 3e persoon meervoud
409	PD(type=pers,other)			probleemgeval
410	PD(type=dem,infl=0)			aanwijzend voornaamwoord, geen uitgang
411	PD(type=dem,infl=e)			aanwijzend voornaamwoord, uitgang -e
412	PD(type=dem,infl=s|th)			aanwijzend voornaamwoord, uitgang -s|-th
413	PD(type=dem,infl=t)			aanwijzend voornaamwoord, uitgang -t
414	PD(type=dem,infl=n)			aanwijzend voornaamwoord, uitgang -n
415	PD(type=dem,infl=r|re)			aanwijzend voornaamwoord, uitgang -r|-re
419	PD(type=dem,infl=other)			aanwijzend voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven
420	PD(type=rel,infl=0)			betrekkelijk voornaamwoord, geen uitgang
421	PD(type=rel,infl=e)			betrekkelijk voornaamwoord, uitgang -e
422	PD(type=rel,infl=s|th)			betrekkelijk voornaamwoord, uitgang -s|-th
424	PD(type=rel,infl=n)			betrekkelijk voornaamwoord, uitgang -n
425	PD(type=rel,infl=r|re)			betrekkelijk voornaamwoord, uitgang -r|-re
429	PD(type=rel,infl=other)			betrekkelijk voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven
430	PD(type=int,infl=0)			vragend voornaamwoord, geen uitgang
431	PD(type=int,infl=e)			vragend voornaamwoord, uitgang -e
432	PD(type=int,infl=s|th)			vragend voornaamwoord, uitgang -s|-th
433	PD(type=int,infl=t)			vragend voornaamwoord, uitgang -t
434	PD(type=int,infl=n)			vragend voornaamwoord, uitgang -n
435	PD(type=int,infl=r|re)			vragend voornaamwoord, uitgang -r|-re
440	PD(type=indef,infl=0)			onbepaald voornaamwoord, geen uitgang
441	PD(type=indef,infl=e)			onbepaald voornaamwoord, uitgang -e
442	PD(type=indef,infl=s|th)			onbepaald voornaamwoord, uitgang -s|-th
443	PD(type=indef,infl=t)			onbepaald voornaamwoord, uitgang -t
444	PD(type=indef,infl=n)			onbepaald voornaamwoord, uitgang -n
445	PD(type=indef,infl=r|re)			onbepaald voornaamwoord, uitgang -r|-re
446	PD(type=indef,infl=a)			onbepaald voornaamwoord, uitgang -a
449	PD(type=indef,infl=other)			onbepaald voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven
450	PD(type=poss,infl=0)			bezittelijk voornaamwoord, geen uitgang
451	PD(type=poss,infl=e)			bezittelijk voornaamwoord, uitgang -e
452	PD(type=poss,infl=s|th)			bezittelijk voornaamwoord, uitgang -s|-th
453	PD(type=poss,infl=t)			bezittelijk voornaamwoord, uitgang -t
454	PD(type=poss,infl=n)			bezittelijk voornaamwoord, uitgang -n
455	PD(type=poss,infl=r|re)			bezittelijk voornaamwoord, uitgang -r|-re
456	PD(type=poss,infl=a)			bezittelijk voornaamwoord, uitgang -a
459	PD(type=poss,infl=other)			bezittelijk voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven
460	PD(type=refl|recip)			wederkerend|wederkerig voornaamwoord
461	PD(type=refl|recip,person=1,number=sg)			wederkerend|wederkerig voornaamwoord, 1e persoon enkelvoud
462	PD(type=refl|recip,person=2,number=sg)			wederkerend|wederkerig voornaamwoord, 2e persoon enkelvoud
463	PD(type=refl|recip,person=3,number=sg)			wederkerend|wederkerig voornaamwoord, 3e persoon enkelvoud
464	PD(type=refl|recip,person=1,number=pl)			wederkerend|wederkerig voornaamwoord, 1e persoon meervoud
465	PD(type=refl|recip,person=2,number=pl)			wederkerend|wederkerig voornaamwoord, 2e persoon meervoud
466	PD(type=refl|recip,person=3,number=pl)			wederkerend|wederkerig voornaamwoord, 3e persoon meervoud
469	PD(type=refl|recip,person=1,number=sg)		PD(type=refl|recip,person=1,number=sg)	probleemgeval
470	PD(type=dem,subtype=art,infl=0)		PD(type=dem,subtype =art,infl=0)	bepaald lidwoord, geen uitgang
471	PD(type=dem,subtype=art,infl=e)		PD(type=dem,subtype=art,infl=e)	bepaald lidwoord, uitgang -e
472	PD(type=dem,subtype=art,infl=s|th)		PD(type=dem,subtype=art,infl=s|th)	bepaald lidwoord, uitgang -s|-th
474	PD(type=dem,subtype=art,infl=n)		PD(type=dem,subtype=art,infl=n)	bepaald lidwoord, uitgang -n
475	PD(type=dem,subtype=art,infl=r|re)		PD(type=dem,subtype=art,infl=r|re)	bepaald lidwoord, uitgang -r|-re
479	PD(type=dem,subtype=art,infl=other)		PD(type=dem,subtype=art,infl=other)	bepaald lidwoord, uitgang latijn, onduidelijk of evident fout geschreven
480	PD(type=indef,subtype=art,infl=0)		PD(type=indef,subtype=art,infl=0)	onbepaald lidwoord, geen uitgang
481	PD(type=indef,subtype=art,infl=e)		PD(type=indef,subtype=art,infl=e)	onbepaald lidwoord, uitgang -e
482	PD(type=indef,subtype=art,infl=s|th)		PD(type=indef,subtype=art,infl=s|th)	onbepaald lidwoord, uitgang -s|-th
484	PD(type=indef,subtype=art,infl=n)		PD(type=indef,subtype=art,infl=n)	onbepaald lidwoord, uitgang -n
485	PD(type=indef,subtype=art,infl=r|re)		PD(type=indef,subtype=art,infl=r|re)	onbepaald lidwoord, uitgang -r|-re
489	PD(type=indef,subtype=art,infl=other)		PD(type=indef,subtype=art,infl=other)	onbepaald lidwoord, uitgang latijn, onduidelijk of evident fout geschreven
490	PD(type=unclear,infl=0)		PD(type=unclear,infl=0)	voornaamwoord probleemgeval, geen uitgang
491	PD(type=unclear,infl=e)		PD(type=unclear,infl=e)	voornaamwoord probleemgeval, uitgang -e
492	PD(type=unclear,infl=s|th)		PD(type=unclear,infl=s|th)	voornaamwoord probleemgeval, uitgang -s|-th
493	PD(type=unclear,infl=t)		PD(type=unclear,infl=t)	voornaamwoord probleemgeval, uitgang -t
494	PD(type=unclear,infl=n)		PD(type=unclear,infl=n)	voornaamwoord probleemgeval, uitgang -n
499	PD(type=unclear,infl=other)		PD(type=unclear,infl=other)	voornaamwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
500	ADV(type=gen,infl=0)			bijwoord, geen uitgang
501	ADV(type=gen,infl=e)			bijwoord, uitgang -e
502	ADV(type=gen,infl=s|th)			bijwoord, uitgang -s|-th
503	ADV(type=gen,infl=t)			bijwoord, uitgang -t
504	ADV(type=gen,infl=n)			bijwoord, uitgang -n
505	ADV(type=gen,infl=r|re)			bijwoord, uitgang -r|-re
509	ADV(type=gen,infl=other)			bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
510	ADV(type=gen,subtype=dem,infl=0)			aanwijzend bijwoord, geen uitgang
511	ADV(type=gen,subtype=dem,infl=e)			aanwijzend bijwoord, uitgang -e
512	ADV(type=gen,subtype=dem,infl=s|th)			aanwijzend bijwoord, uitgang -s|-th
514	ADV(type=gen,subtype=dem,infl=n)			aanwijzend bijwoord, uitgang -n
519	ADV(type=gen,subtype=dem,infl=other)			aanwijzend bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
520	ADV(type=gen,subtype=rel,infl=0)			betrekkelijk bijwoord, geen uitgang
521	ADV(type=gen,subtype=rel,infl=e)			betrekkelijk bijwoord, uitgang -e
524	ADV(type=gen,subtype=rel,infl=n)			betrekkelijk bijwoord, uitgang -n
529	ADV(type=gen,subtype=rel,infl=other)			betrekkelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
530	ADV(type=gen,subtype=int,infl=0)			vragend bijwoord, geen uitgang
531	ADV(type=gen,subtype=int,infl=e)			vragend bijwoord, uitgang -e
534	ADV(type=gen,subtype=int,infl=n)			vragend bijwoord, uitgang -n
540	ADV(type=gen,subtype=indef,infl=0)			onbepaald bijwoord, geen uitgang
541	ADV(type=gen,subtype=indef,infl=e)			onbepaald bijwoord, uitgang -e
542	ADV(type=gen,subtype=indef,infl=s|th)			onbepaald bijwoord, uitgang -s|-th
544	ADV(type=gen,subtype=indef,infl=n)			onbepaald bijwoord, uitgang -n
549	ADV(type=gen,subtype=indef,infl=other)			onbepaald bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
550	ADV(type=gen,subtype=resumptive,infl=0)			hervattend bijwoord, geen uitgang
551	ADV(type=gen,subtype=resumptive,infl=e)			hervattend bijwoord, uitgang -e
